integration_radius_cm,enclosed_count,enclosed_fraction,target_containment_fraction
0.0,0,0.0,0.0
0.03148616545804036,28,0.0010193679918450561,0.001
0.04399772078626445,55,0.00200232998398136,0.002
0.054039627637194464,83,0.003021697975826416,0.003
0.06234497136483583,110,0.00400465996796272,0.004
0.07193797963573581,138,0.005024027959807776,0.005
0.07960518186492611,165,0.006006989951944081,0.006
0.08734284293195262,193,0.007026357943789137,0.007
0.09248462968495937,220,0.00800931993592544,0.008
0.09888000190065918,248,0.009028687927770496,0.009
0.10307902501328212,275,0.010011649919906801,0.01
0.10759022243418812,303,0.011031017911751857,0.011
0.11060248429706399,330,0.012013979903888162,0.012
0.11482742595608761,358,0.013033347895733217,0.013
0.11984513371971628,385,0.01401630988786952,0.014
0.12453388270270858,413,0.015035677879714576,0.015
0.13015458107439448,440,0.01601863987185088,0.016
0.13377465646411152,467,0.017001601863987185,0.017
0.13757641738765286,495,0.01802096985583224,0.018
0.139817834136159,522,0.019003931847968544,0.019
0.14339811427914934,550,0.020023299839813602,0.02
0.14718585214940774,577,0.021006261831949907,0.021
0.1514049557425583,605,0.02202562982379496,0.022
0.15457197047018445,632,0.023008591815931265,0.023
0.15794444967514587,660,0.024027959807776323,0.024
0.16075090920230556,687,0.025010921799912624,0.025
0.16377868879776372,715,0.026030289791757682,0.026
0.1678334484388391,742,0.027013251783893986,0.027
0.17115380758848375,770,0.02803261977573904,0.028
0.1746341287408091,797,0.029015581767875345,0.029
0.1772313410296886,825,0.030034949759720403,0.03
0.17987475799645347,852,0.031017911751856708,0.031
0.18297763208224255,879,0.03200087374399301,0.032
0.1857435174133771,907,0.03302024173583806,0.033
0.1879556748642959,934,0.03400320372797437,0.034
0.190731414360736,962,0.03502257171981943,0.035
0.1934147243885529,989,0.03600553371195573,0.036
0.19671051876352055,1017,0.03702490170380079,0.037
0.19898986287936987,1044,0.03800786369593709,0.038
0.20141510480740954,1072,0.039027231687782146,0.039
0.20424587136227482,1099,0.04001019367991845,0.04
0.20689644987813471,1127,0.041029561671763505,0.041
0.21004856708700376,1154,0.04201252366389981,0.042
0.21320539056444826,1182,0.043031891655744864,0.043
0.21586858924936897,1209,0.04401485364788117,0.044
0.2193293184283088,1237,0.04503422163972623,0.045
0.2221860325715575,1264,0.04601718363186253,0.046
0.22419220064564632,1291,0.04700014562399883,0.047
0.22671666753489614,1319,0.04801951361584389,0.048
0.22973527189897675,1346,0.0490024756079802,0.049
0.23301070698535808,1374,0.05002184359982525,0.05
0.23527235001639724,1401,0.051004805591961556,0.051
0.237461758527376,1429,0.052024173583806614,0.052
0.23921654969264042,1456,0.053007135575942915,0.053
0.24160661714011553,1484,0.05402650356778797,0.054
